image_name;latitude;longitude;date;osm_id;vector_unit_x;vector_unit_y;dist_a_fachada;fov;heading;url
der-2-4821015;-13.52207141;-71.98169323;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-149.7232804;
der-7-4821015;-13.52212185;-71.98161674;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-150.8433257;
der-12-4821015;-13.52217594;-71.98153472;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-152.4092562;
der-17-4821015;-13.52223047;-71.98145204;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-153.9162861;
der-22-4821015;-13.52228108;-71.98137529;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-155.6069699;
der-28-4821015;-13.52233462;-71.98129412;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-158.7531967;
der-33-4821015;-13.52239697;-71.98119956;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-160.9322202;
der-39-4821015;-13.52245271;-71.98111505;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-164.819498;
der-45-4821015;-13.52250766;-71.98103171;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-168.0891509;
der-50-4821015;-13.52255358;-71.98096209;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-171.4145322;
der-55-4821015;-13.52260793;-71.98087967;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-174.8853944;
der-60-4821015;-13.52266164;-71.98079823;2013-11;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;-177.9037211;
der-63-4821015;-13.52267305;-71.98078092;2013-08;4821015;0.83598093;-0.548758494;5.784615385;76.92307692;176.6373218;
iz-2-4821015;-13.52198972;-71.98163697;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;32.16086313;
iz-7-4821015;-13.52204017;-71.98156047;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;31.28207364;
iz-12-4821015;-13.52209426;-71.98147846;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;30.60476186;
iz-17-4821015;-13.52214879;-71.98139577;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;29.2864942;
iz-22-4821015;-13.5221994;-71.98131903;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;27.69447895;
iz-28-4821015;-13.52225293;-71.98123785;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;25.41602839;
iz-33-4821015;-13.52231529;-71.98114329;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;23.20892432;
iz-39-4821015;-13.52237102;-71.98105878;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;20.19635475;
iz-45-4821015;-13.52242598;-71.98097545;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;16.80641676;
iz-50-4821015;-13.5224719;-71.98090582;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;13.72049896;
iz-55-4821015;-13.52252625;-71.98082341;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;10.43249975;
iz-60-4821015;-13.52257996;-71.98074196;2013-11;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;6.445653931;
iz-63-4821015;-13.52259137;-71.98072466;2013-08;4821015;0.83598093;-0.548758494;5.123076923;87.94871795;4.863589873;
